seed,s0_len,s0_col,s0_time,s5_len,s5_col,s5_time
51,440.7652687579645,2,112.8038547039032,485.1746648265063,0,62.2984299659729
52,498.42433549273494,0,4.852575778961182,614.0393020209091,3,61.54783010482788
53,507.39376135458303,4,107.25852847099304,507.22160953211886,2,83.50482702255249
54,500.0442628782113,0,84.09158039093018,599.2832280423173,0,22.453802585601807
55,556.6601164535119,0,46.6255304813385,632.6365127096806,2,209.81693720817566
56,514.3717305410079,0,28.109544038772583,520.1627520031774,0,71.4772801399231
57,500.13294241899405,1,76.0160460472107,480.7032424655184,0,25.831600427627563
58,510.4881613896151,0,25.551705598831177,559.9416053730057,0,13.924802541732788
59,540.2349989444842,5,140.32007956504822,589.3783616308078,4,145.53854966163635
60,545.2660792574175,3,104.03321623802185,609.4829819464967,2,122.91996669769287
61,492.09099886274566,0,36.33954334259033,620.1508578325539,1,43.52351760864258
62,494.2189664731766,0,33.341896295547485,544.7735440382813,0,47.52195763587952
63,596.0579708598705,1,173.73610496520996,590.9671563603775,2,72.28669452667236
64,448.4946134208274,3,80.22748804092407,553.3235929315002,3,68.5271143913269
65,506.8052406216313,0,9.096570491790771,548.7721169541945,1,151.11176991462708
66,488.2829401460913,3,113.2137553691864,563.9284011070365,5,128.30805110931396
67,535.4161722766795,0,31.870346069335938,530.7673220768319,0,67.63261270523071
68,502.090492648789,0,12.008457899093628,546.5962368757398,0,30.221253871917725
69,421.1347090312356,1,64.00405716896057,573.5887100054999,1,83.04597878456116
70,505.08581582669433,1,43.74001383781433,572.072844958689,1,31.046180248260498
71,495.398399451175,0,20.9555983543396,543.915703746582,0,46.91854453086853
72,457.793574341926,1,64.34249544143677,515.6543316928108,1,68.86374568939209
73,566.9940690426688,1,52.45808672904968,631.9943720301072,1,52.898491859436035
74,464.57708713218835,2,70.33231663703918,565.8342849963851,2,78.21967053413391
75,481.9665364787924,1,97.01241636276245,478.80008403122986,0,21.056607007980347
76,564.4936792997487,1,56.962178468704224,570.524961712176,1,72.98644161224365
77,514.7939650697555,1,79.34648942947388,542.560662903085,0,26.957219123840332
78,470.791971462646,1,48.46518087387085,525.3606351283119,1,95.19087934494019
79,492.50903202615063,2,84.38173484802246,450.9138018135712,0,52.492945432662964
80,506.6658871255633,0,15.941312313079834,572.6796210543947,0,28.31792688369751
81,463.7806649780731,3,96.26160311698914,609.7050171666682,2,74.00253367424011
82,540.7913472120697,1,84.91387033462524,644.9675648777235,1,73.49900722503662
83,522.4313267857448,1,71.0035080909729,545.5531626747314,0,30.07919216156006
84,537.0810182527274,2,86.87617683410645,506.7010665083474,2,48.10240387916565
85,589.772605037946,3,79.52535772323608,671.4527689426556,2,81.45856475830078
86,560.9832190600282,0,32.782930850982666,534.6380094611693,1,47.96329855918884
87,526.2487645367864,3,177.20837116241455,568.0049549220613,2,114.50604748725891
88,487.42099128823867,1,122.12460827827454,535.258424485997,0,23.134318113327026
89,534.1379125970825,2,65.68305492401123,618.5549396589979,2,79.64567852020264
90,444.1694984188807,2,115.51495242118835,535.9425326045514,1,65.85268688201904
91,491.0340091612451,1,106.66761422157288,514.6495727360011,2,109.00531721115112
92,521.0473238194543,1,54.75511121749878,583.5302182158009,2,67.0411593914032
93,599.5332770995777,4,115.52686953544617,512.3515604805734,2,51.87879204750061
94,515.5217964731721,0,31.891576528549194,540.9679894777508,1,66.71902894973755
95,531.7183456247359,1,73.45397281646729,544.0347683528025,3,144.9299066066742
96,502.2020316483842,0,31.2476966381073,549.8079600168986,1,92.63563585281372
97,468.7210780049625,3,82.66075563430786,488.7756664877765,1,68.7626211643219
98,549.1142735219124,1,65.6531777381897,578.9301120713468,1,71.92982387542725
99,502.9068705501177,1,51.15611553192139,610.1396438986499,1,55.51059412956238
100,577.6208850093963,0,30.959519386291504,573.461095948645,1,34.27582573890686
